bin,p_mean,y_mean,count,fold,model,world
13,0.8898413066623212,0.0,1,4,Logistic_L2,WI_prevalence_shift
14,0.9752647710885702,1.0,95,4,Logistic_L2,WI_prevalence_shift
0,0.008401248873438908,0.006179992275009656,2589,4,RandomForest,WA_clean
1,0.09347328244274809,0.09923664122137404,131,4,RandomForest,WA_clean
2,0.16277173913043477,0.21739130434782608,46,4,RandomForest,WA_clean
3,0.2277777777777778,0.3333333333333333,21,4,RandomForest,WA_clean
4,0.2972435897435898,0.8461538461538461,13,4,RandomForest,WA_clean
5,0.3570833333333333,0.75,4,4,RandomForest,WA_clean
6,0.4397916666666667,1.0,4,4,RandomForest,WA_clean
7,0.496388888888889,1.0,6,4,RandomForest,WA_clean
8,0.5458333333333333,1.0,1,4,RandomForest,WA_clean
9,0.6583333333333333,1.0,1,4,RandomForest,WA_clean
0,0.011306895961670088,0.11498973305954825,1948,4,RandomForest,WI_prevalence_shift
1,0.09797572178477693,0.7125984251968503,254,4,RandomForest,WI_prevalence_shift
2,0.16846385542168674,0.8734939759036144,166,4,RandomForest,WI_prevalence_shift
3,0.21801747311827957,0.9193548387096774,124,4,RandomForest,WI_prevalence_shift
4,0.29645669291338583,0.9921259842519685,127,4,RandomForest,WI_prevalence_shift
5,0.3579924242424243,0.9772727272727273,44,4,RandomForest,WI_prevalence_shift
6,0.4395352564102563,1.0,52,4,RandomForest,WI_prevalence_shift
7,0.4954573170731707,1.0,82,4,RandomForest,WI_prevalence_shift
8,0.5458333333333333,1.0,7,4,RandomForest,WI_prevalence_shift
9,0.6583333333333333,1.0,12,4,RandomForest,WI_prevalence_shift
0,0.008814924738276275,0.009244992295839754,2596,5,Logistic_L2,WA_clean
1,0.0954810171946547,0.0989010989010989,91,5,Logistic_L2,WA_clean
2,0.15799293333339848,0.05263157894736842,38,5,Logistic_L2,WA_clean
3,0.22786254344974594,0.0,19,5,Logistic_L2,WA_clean
4,0.3011267309324918,0.2777777777777778,18,5,Logistic_L2,WA_clean
5,0.3656730642827419,0.1111111111111111,9,5,Logistic_L2,WA_clean
6,0.42639305923877424,0.45454545454545453,11,5,Logistic_L2,WA_clean
7,0.5079632537619835,0.5,2,5,Logistic_L2,WA_clean
8,0.5736920695237181,0.6666666666666666,3,5,Logistic_L2,WA_clean
9,0.6273044800736106,0.6666666666666666,3,5,Logistic_L2,WA_clean
10,0.7078552235279477,0.8333333333333334,6,5,Logistic_L2,WA_clean
11,0.7652674749772368,0.6666666666666666,3,5,Logistic_L2,WA_clean
13,0.8970504311639343,1.0,7,5,Logistic_L2,WA_clean
14,0.9736869863378914,0.7,10,5,Logistic_L2,WA_clean
0,0.01063779451568529,0.1643835616438356,2044,5,Logistic_L2,WI_prevalence_shift
1,0.09458850227791386,0.6878612716763006,173,5,Logistic_L2,WI_prevalence_shift
2,0.15677976131389512,0.3617021276595745,47,5,Logistic_L2,WI_prevalence_shift
3,0.22760415569734668,0.0,14,5,Logistic_L2,WI_prevalence_shift
4,0.2944223625491825,0.8955223880597015,67,5,Logistic_L2,WI_prevalence_shift
5,0.35977619300951547,0.782608695652174,23,5,Logistic_L2,WI_prevalence_shift
6,0.42757631123632206,0.9230769230769231,78,5,Logistic_L2,WI_prevalence_shift
7,0.5237945865188611,0.9,10,5,Logistic_L2,WI_prevalence_shift
8,0.563200489752272,1.0,25,5,Logistic_L2,WI_prevalence_shift
9,0.6182420504991458,0.9629629629629629,27,5,Logistic_L2,WI_prevalence_shift
10,0.714020730784382,0.9868421052631579,76,5,Logistic_L2,WI_prevalence_shift
11,0.7657464907841038,0.967741935483871,31,5,Logistic_L2,WI_prevalence_shift
13,0.895108365099262,1.0,108,5,Logistic_L2,WI_prevalence_shift
14,0.9807763417817011,0.978494623655914,93,5,Logistic_L2,WI_prevalence_shift
0,0.00872827649287861,0.006272050176401411,2551,5,RandomForest,WA_clean
1,0.09225877192982457,0.07894736842105263,152,5,RandomForest,WA_clean
2,0.16160714285714287,0.17857142857142858,56,5,RandomForest,WA_clean
3,0.22147727272727266,0.4090909090909091,22,5,RandomForest,WA_clean
4,0.29880208333333336,0.5625,16,5,RandomForest,WA_clean
5,0.3673611111111111,0.6666666666666666,6,5,RandomForest,WA_clean
6,0.441875,0.75,4,5,RandomForest,WA_clean
7,0.5055555555555555,1.0,6,5,RandomForest,WA_clean
9,0.6366666666666667,1.0,1,5,RandomForest,WA_clean
10,0.6916666666666667,1.0,1,5,RandomForest,WA_clean
11,0.7975,1.0,1,5,RandomForest,WA_clean
0,0.011631233595800525,0.11286089238845144,1905,5,RandomForest,WI_prevalence_shift
1,0.09421455938697319,0.6283524904214559,261,5,RandomForest,WI_prevalence_shift
2,0.16534679089026916,0.8509316770186336,161,5,RandomForest,WI_prevalence_shift
3,0.22165432098765434,0.9259259259259259,135,5,RandomForest,WI_prevalence_shift
4,0.3001079136690647,0.9568345323741008,139,5,RandomForest,WI_prevalence_shift
5,0.36799019607843136,0.9607843137254902,51,5,RandomForest,WI_prevalence_shift
6,0.44208333333333333,0.9761904761904762,42,5,RandomForest,WI_prevalence_shift
7,0.502621951219512,1.0,82,5,RandomForest,WI_prevalence_shift
9,0.6366666666666667,1.0,12,5,RandomForest,WI_prevalence_shift
10,0.6916666666666665,1.0,13,5,RandomForest,WI_prevalence_shift
11,0.7974999999999999,1.0,15,5,RandomForest,WI_prevalence_shift
0,0.008143850548266768,0.008409785932721712,2616,6,Logistic_L2,WA_clean
1,0.09202178088620812,0.07766990291262135,103,6,Logistic_L2,WA_clean
2,0.16180567549719657,0.27586206896551724,29,6,Logistic_L2,WA_clean
3,0.22883373445149352,0.4,20,6,Logistic_L2,WA_clean
4,0.31189410426526815,0.5,8,6,Logistic_L2,WA_clean
5,0.36314143529199217,0.3,10,6,Logistic_L2,WA_clean
6,0.41016011211444564,0.0,1,6,Logistic_L2,WA_clean
7,0.49524332994835724,1.0,3,6,Logistic_L2,WA_clean
8,0.580630047079875,0.16666666666666666,6,6,Logistic_L2,WA_clean
9,0.6470906357452342,0.5,4,6,Logistic_L2,WA_clean
10,0.7148069837466363,0.5,2,6,Logistic_L2,WA_clean
12,0.8645425603844816,0.0,1,6,Logistic_L2,WA_clean
13,0.8982236005444846,1.0,2,6,Logistic_L2,WA_clean
14,0.9783788326857982,0.8333333333333334,12,6,Logistic_L2,WA_clean
0,0.010999256333006606,0.14073339940535184,2018,6,Logistic_L2,WI_prevalence_shift
1,0.09626253637030216,0.6402439024390244,164,6,Logistic_L2,WI_prevalence_shift
2,0.16612803810291962,0.891156462585034,147,6,Logistic_L2,WI_prevalence_shift
3,0.23257803087717763,0.9411764705882353,119,6,Logistic_L2,WI_prevalence_shift
4,0.31312400545156216,0.9615384615384616,52,6,Logistic_L2,WI_prevalence_shift
5,0.35915198209359406,0.9047619047619048,42,6,Logistic_L2,WI_prevalence_shift
6,0.41016011211444564,0.0,1,6,Logistic_L2,WI_prevalence_shift
7,0.49334129686696965,1.0,45,6,Logistic_L2,WI_prevalence_shift
8,0.5793628825935295,0.6666666666666666,12,6,Logistic_L2,WI_prevalence_shift
9,0.6596247869703884,0.9666666666666667,30,6,Logistic_L2,WI_prevalence_shift
10,0.7134625886407305,0.9411764705882353,17,6,Logistic_L2,WI_prevalence_shift
13,0.8952348019013069,1.0,30,6,Logistic_L2,WI_prevalence_shift
14,0.9792171154305978,0.9857142857142858,140,6,Logistic_L2,WI_prevalence_shift
0,0.008657496473002436,0.00461716044632551,2599,6,RandomForest,WA_clean
1,0.09640384615384615,0.17692307692307693,130,6,RandomForest,WA_clean
2,0.16159090909090912,0.24242424242424243,33,6,RandomForest,WA_clean
3,0.2321875,0.4166666666666667,24,6,RandomForest,WA_clean
4,0.2881818181818182,0.45454545454545453,11,6,RandomForest,WA_clean
5,0.3614583333333333,0.5,8,6,RandomForest,WA_clean
6,0.42645833333333333,0.5,4,6,RandomForest,WA_clean
7,0.5133333333333334,1.0,4,6,RandomForest,WA_clean
8,0.55,1.0,1,6,RandomForest,WA_clean
10,0.7022222222222222,1.0,3,6,RandomForest,WA_clean
0,0.0109006734006734,0.07761828814460393,1881,6,RandomForest,WI_prevalence_shift
1,0.09924915397631133,0.8299492385786802,394,6,RandomForest,WI_prevalence_shift
2,0.16213709677419355,0.8790322580645161,124,6,RandomForest,WI_prevalence_shift
3,0.23346602972399152,0.9554140127388535,157,6,RandomForest,WI_prevalence_shift
4,0.2911547619047618,0.9428571428571428,70,6,RandomForest,WI_prevalence_shift
5,0.35574999999999996,0.98,50,6,RandomForest,WI_prevalence_shift
6,0.4340972222222222,0.9166666666666666,24,6,RandomForest,WI_prevalence_shift
7,0.514074074074074,1.0,63,6,RandomForest,WI_prevalence_shift
8,0.5499999999999999,1.0,13,6,RandomForest,WI_prevalence_shift
10,0.7033943089430895,1.0,41,6,RandomForest,WI_prevalence_shift
0,0.008410267838762218,0.007668711656441718,2608,7,Logistic_L2,WA_clean
1,0.09351651007064433,0.07766990291262135,103,7,Logistic_L2,WA_clean
2,0.16415542874636666,0.25,28,7,Logistic_L2,WA_clean
3,0.23534934508123484,0.2,15,7,Logistic_L2,WA_clean
4,0.30514506533786595,0.45454545454545453,11,7,Logistic_L2,WA_clean
5,0.372139318852875,0.14285714285714285,7,7,Logistic_L2,WA_clean
6,0.42643303179033626,0.14285714285714285,7,7,Logistic_L2,WA_clean
7,0.5207337347884606,0.75,4,7,Logistic_L2,WA_clean
8,0.5801750778272828,0.25,4,7,Logistic_L2,WA_clean
