metric,world,mean_delta,ci_lower,ci_upper,n_models
aECE_mean,WG_label_noise,-0.09824985863399971,-0.1747611611107413,0.018000534071206078,7
aECE_mean,WH_subgroup_shift,-0.14791039208744963,-0.24886504140049762,0.012162768250810958,7
aECE_mean,WI_prevalence_shift,-0.021637476300120837,-0.06678025150599923,0.030276233428644255,7
aECE_mean,WJ_concept_drift,-0.15691022821277464,-0.2590921578314064,0.004594263783562553,7
aECE_ci_lo,WA_clean,-0.13419053441556295,-0.23355188806857874,0.02735244522811071,7
aECE_ci_lo,WB_noise_outliers,-0.12841830389487527,-0.23633328256914693,0.03934727840742762,7
aECE_ci_lo,WC_missingness,-0.13752046578471636,-0.24146387658826604,0.02630726339841022,7
aECE_ci_lo,WD_shift,-0.12823786703735826,-0.2234642091997676,0.03343031277502777,7
aECE_ci_lo,WE_surrogate_corrupt,-0.13569885049867492,-0.24171972973071199,0.03690241981638814,7
aECE_ci_lo,WF_nonlinear,-0.029268185706241203,-0.17001891188074922,0.14780540379647192,7
aECE_ci_lo,WG_label_noise,-0.07670208319627224,-0.15323870740417517,0.04014507536510889,7
aECE_ci_lo,WH_subgroup_shift,-0.12571953646606018,-0.22372676124183055,0.03285725708301806,7
aECE_ci_lo,WI_prevalence_shift,-0.001364756827853923,-0.04516281798545122,0.05407433522526612,7
aECE_ci_lo,WJ_concept_drift,-0.13516181033531546,-0.23661107836801054,0.02712934987054876,7
aECE_ci_hi,WA_clean,-0.18248681464279176,-0.2828837660655719,-0.022020686096904094,7
aECE_ci_hi,WB_noise_outliers,-0.17500643095792223,-0.2794639829085441,-0.012023948721448543,7
aECE_ci_hi,WC_missingness,-0.178739691915457,-0.2838510937661849,-0.018282254019116196,7
aECE_ci_hi,WD_shift,-0.166217612244105,-0.26269413492698734,-0.00954936745014799,7
aECE_ci_hi,WE_surrogate_corrupt,-0.17848204327040432,-0.2816920713882841,-0.010049619777889414,7
aECE_ci_hi,WF_nonlinear,-0.046755980477047265,-0.20014246125075524,0.1270043246063532,7
aECE_ci_hi,WG_label_noise,-0.11985670700509529,-0.1975887619926059,-0.003694819779794007,7
aECE_ci_hi,WH_subgroup_shift,-0.1703404060005774,-0.27479380801782805,-0.00928816312052071,7
aECE_ci_hi,WI_prevalence_shift,-0.04442167395795571,-0.09060616907932882,0.004884308979801736,7
aECE_ci_hi,WJ_concept_drift,-0.17912596442252443,-0.28195719589734475,-0.01918975315795057,7
Brier_REL_mean,WA_clean,-0.009289480248899713,-0.11075290924406714,0.16372196402000833,7
Brier_REL_mean,WB_noise_outliers,-0.008546324561487151,-0.11401839667290113,0.16775969259750104,7
Brier_REL_mean,WC_missingness,-0.008510199484178796,-0.11147655111164324,0.16370378326386553,7
Brier_REL_mean,WD_shift,-0.004865669771391003,-0.10478258003885207,0.16782888815407107,7
Brier_REL_mean,WE_surrogate_corrupt,-0.009118825919540104,-0.1152364959193919,0.17157574063028225,7
Brier_REL_mean,WF_nonlinear,0.058533576611706425,-0.07598943885246204,0.2471806585705481,7
Brier_REL_mean,WG_label_noise,-0.027081609549717753,-0.1057241806245304,0.10219657832747922,7
Brier_REL_mean,WH_subgroup_shift,-0.004247649654550242,-0.10657839447999762,0.16933402263253888,7
Brier_REL_mean,WI_prevalence_shift,0.01498980037889339,-0.026698647360499123,0.0574916707635276,7
Brier_REL_mean,WJ_concept_drift,-0.007569644532895894,-0.11037458649270741,0.16537607208157531,7
Brier_REL_ci_lo,WA_clean,0.007049226773188154,-0.09349363235689759,0.18179747262704063,7
Brier_REL_ci_lo,WB_noise_outliers,0.006637768072896657,-0.0988981068949794,0.18515462754206333,7
Brier_REL_ci_lo,WC_missingness,0.006093197277239221,-0.0963436138237803,0.17984514342808097,7
Brier_REL_ci_lo,WD_shift,0.009258861634379199,-0.08960295640125113,0.18444782689295794,7
Brier_REL_ci_lo,WE_surrogate_corrupt,0.00708584392099143,-0.09858219330964159,0.19040430442439885,7
Brier_REL_ci_lo,WF_nonlinear,0.06198956275567146,-0.07217059037120095,0.2571970277951337,7
Brier_REL_ci_lo,WG_label_noise,-0.010902314332060731,-0.08728809414010551,0.11794540639305404,7
Brier_REL_ci_lo,WH_subgroup_shift,0.011141476341796203,-0.08821251380057817,0.1844796779396685,7
Brier_REL_ci_lo,WI_prevalence_shift,0.0311335790898887,-0.010908567689031354,0.07852075384505729,7
