fold,model,R,Q_label,S_drop,S_ratio,C_exp,C_linear,E_cos,E_rank,E_jaccard,E_mix
8,GradientBoosting,0.96563277662331,0.6062586181553112,0.9776597655147643,0.9768646684052261,0.5626134680409072,0.925788052299097,0.8517227058714774,0.9955011497263943,0.8690476190476191,0.9054238248818303
8,Logistic_L2,0.9261448472254291,0.6270463510971077,0.9851695784909823,0.9839869308195354,0.4328905228736598,0.9475607516392821,0.875099053363814,0.9954926861375659,0.9089497459062676,0.9265138284692158
8,MLP,0.8794530388157726,0.6638095091033999,0.9906920320503884,0.9894161853569411,0.6403914701360487,0.9544298239017817,,,,
8,RandomForest,0.9616614074245106,0.5933794198095168,0.981477813708864,0.9807393889898606,0.6069872061244888,0.9637631065074574,0.9311261832727398,0.998101595530171,0.8484848484848484,0.9259042090959196
8,SVC_RBF,0.9042971856640755,0.6449330474439594,0.9144969085918059,0.905448017793028,0.38110286427628604,0.9252339192403521,,,,
9,ExtraTrees,0.9450897918691286,0.6379292884181208,0.9941051941609977,0.9937627028770593,0.5648089261523694,0.9619482109848485,0.9437945209110724,0.9963320167784209,0.8187229437229437,0.9196164938041456
9,GaussianNB,0.6170508381924198,0.8781036470902319,0.9976267664804017,0.996153909251146,0.9564231647293168,0.9636375866366558,,,,
9,GradientBoosting,0.964012390670554,0.6440783958589036,0.9866071937200409,0.986107225995815,0.3822276063814495,0.9410101472882381,0.8489593880695454,0.9947863202167095,0.8339947089947091,0.8925801390936546
9,Logistic_L2,0.8816458130871396,0.68200465551139,0.9935205853174603,0.9926507736020781,0.5965221440860284,0.9492296798950647,0.8757343622736014,0.9958373911636704,0.8882458121588557,0.9199391885320424
9,MLP,0.8548398526077098,0.6696130007089196,0.9951092788305799,0.9942787866584072,0.6478840422751628,0.9539923914924452,,,,
9,RandomForest,0.96096027696793,0.6235899024403754,0.989596936244736,0.9891743040735228,0.3894228009721984,0.9608150354107481,0.9273150722943291,0.9978689087465611,0.8636363636363638,0.9296067815590847
9,SVC_RBF,0.9488935455134435,0.6357665207999795,0.9093040117832847,0.9044192168383132,0.4134328849888488,0.9269367588638577,,,,
10,ExtraTrees,0.9667835884353742,0.5892393139511978,0.9890521870950761,0.9886760459769697,0.6933049846364003,0.9616760321688566,0.9416979438672783,0.9967264365101236,0.8522727272727273,0.9302323692167098
10,GaussianNB,0.620262390670554,0.8343061118864867,0.9956495991253644,0.9929861927138603,0.9533750133547516,0.9602594056186061,,,,
10,GradientBoosting,0.9676718901846453,0.5811415108319704,0.9801011550453514,0.979436371814437,0.48398544737621796,0.9137450960394028,0.8436935087140108,0.9945258120649652,0.860248447204969,0.8994892559946482
10,Logistic_L2,0.9245272513767411,0.6111839234066555,0.9842263170149013,0.9829386500372568,0.4685486928561802,0.9484375145332444,0.8746273083437612,0.9969059631207172,0.8910926030491249,0.9208752915045344
10,MLP,0.8654792274052479,0.6443636462354705,0.9913216879072418,0.9899728245133437,0.6106634849819419,0.9520760869832778,,,,
10,RandomForest,0.9646881073858116,0.5818940914842021,0.9856520919379657,0.9851268944306512,0.6308176747361438,0.9626307377086293,0.9309004146233775,0.9979029087654869,0.8295454545454546,0.919449592644773
10,SVC_RBF,0.9308794946550047,0.6100402318715857,0.906111440111759,0.8991399419281856,0.3215429941851857,0.9256872455289842,,,,
11,ExtraTrees,0.9718680429062944,0.5680096838538923,0.9939112573586436,0.9937350109547617,0.6102792835780639,0.962549448866998,0.9393508814273108,0.9969039089871276,0.8106060606060606,0.9156202836734996
11,GaussianNB,0.6194899817850638,0.846187004222488,0.9952561705459209,0.9923423629204187,0.9541232902254825,0.960933817206081,,,,
11,GradientBoosting,0.9694596235579842,0.5779498545732364,0.9850236661327514,0.984551874566066,0.2725831704832775,0.8812167854246179,0.8372421368655842,0.9928845771568127,0.9113756613756614,0.913834125132686
11,Logistic_L2,0.9586571544221817,0.5968000728926257,0.9844335028334346,0.9837621853700589,0.5741057354816188,0.9545951235426224,0.8746660266557926,0.9961661927941947,0.9316770186335404,0.9341697460278425
11,MLP,0.936642380085003,0.6148618752480606,0.9824918412264724,0.9813075308715531,0.6373562513113443,0.9636665305312602,,,,
11,RandomForest,0.9696620117385144,0.5657303395439882,0.9485511596507438,0.9469414706080574,0.6645021319715012,0.9662069316722873,0.9313557281550101,0.9981092549079984,0.9128787878787878,0.9474479236472654
11,SVC_RBF,0.9660999797611819,0.5971462528795074,0.9024195355689362,0.8989954803063349,0.4815615991621635,0.9355620432887453,,,,
12,ExtraTrees,0.9462197593576027,0.6020561535938058,0.9936933990097233,0.9933349510739697,0.6552780066384758,0.9610267679968632,0.9342904167838725,0.9964388501795501,0.8106060606060606,0.913778442523161
12,GaussianNB,0.5887298288822186,0.8830794995896026,0.9963346912835522,0.9937742092594908,0.9580836581470467,0.9641067727367303,,,,
12,GradientBoosting,0.959188280869186,0.5899874655679208,0.9834149946267942,0.9827093327712889,0.449313096062055,0.9232767297474415,0.8492513124486002,0.9960487251135173,0.9345238095238095,0.9266079490286424
12,Logistic_L2,0.9158316016316477,0.6282439186733275,0.9798373654233229,0.9779843428183377,0.3855540726171517,0.9451109736863372,0.8701823055391686,0.9956390959503763,0.8935817805383023,0.9198010606759491
12,MLP,0.8489032555991687,0.6692304512877759,0.9891010867426561,0.9871611833432498,0.6207898949419588,0.9520030543599738,,,,
12,RandomForest,0.962346391646784,0.5884912692714754,0.9843174068686386,0.9837037959841219,0.5830589378521358,0.9610816594238282,0.9304217769947299,0.9979640347431746,0.8257575757575757,0.9180477958318267
12,SVC_RBF,0.913255855717181,0.6148141192030988,0.9098111145508371,0.9012446677618194,0.38948496101853614,0.923179257444477,,,,
13,ExtraTrees,0.9547525590702686,0.6011643964223399,0.9930085009757426,0.9926771612616223,0.60292686433597,0.959533924165483,0.9390497532671336,0.9967226093156103,0.7945804195804196,0.9101175940543879
13,GaussianNB,0.6172297903999591,0.8319835777014224,0.9957493137330357,0.9931132840087351,0.9522451794082716,0.9596989184242221,,,,
13,GradientBoosting,0.9536109186998128,0.5961005893380237,0.9853389544232143,0.9846257574340334,0.5173314526670854,0.9398116089923495,0.8514317084630907,0.9945618153364634,0.8513986013986015,0.8991307083993852
13,Logistic_L2,0.9141896918853741,0.6291713810007904,0.9826743978150819,0.9810481321989993,0.3571562497891559,0.9460625762190343,0.8739431329668562,0.9956728160877668,0.8900103519668736,0.9198754336738322
13,MLP,0.8827471202442341,0.6395727581326947,0.9848114027124503,0.9827939429767495,0.6886246246331473,0.9530958307386816,,,,
13,RandomForest,0.9486467072013135,0.6048212148579135,0.9779266355298613,0.9767317334225394,0.5035011369570251,0.9607393464947325,0.9308749841769299,0.998323907499989,0.9128787878787878,0.9473592265185689
13,SVC_RBF,0.936832653480079,0.6080795150641762,0.9138387582001167,0.908029207264792,0.31934482268515685,0.9245040272129128,,,,
14,ExtraTrees,0.9593886661807581,0.5950842065796845,0.9901322670061893,0.9897145616342509,0.633741088562951,0.9617451715110085,0.9382458420976186,0.9966778858140115,0.8333333333333333,0.922752353748321
14,GaussianNB,0.6111718496922579,0.8240246502384346,0.9962114552963369,0.9938011793140678,0.9583114099885423,0.9647543651428915,,,,
14,GradientBoosting,0.9478812358276645,0.5982914693236359,0.9922379917773726,0.9918112017309145,0.5607823508993556,0.9618746808664124,0.8527541143607995,0.9955974274668498,0.865921115921116,0.9047575525829217
14,Logistic_L2,0.9163072967282151,0.5978594361202209,0.9807896577182684,0.97903504386432,0.40260793540458645,0.9474010010967954,0.8763261060686496,0.9961237686067969,0.9426406926406927,0.938363522438713
14,MLP,0.8967292274052479,0.6229225566246295,0.990173967088703,0.9890423635008881,0.6614967695454206,0.9552772307521145,,,,
14,RandomForest,0.9661736718496924,0.591784193830312,0.9812410324898418,0.9805842696219401,0.6864188356565976,0.9643977237112334,0.9301600529630012,0.9978373070547224,0.7331002331002331,0.8870325310393189
14,SVC_RBF,0.9348123177842566,0.5850218641368887,0.9899974312641724,0.9892999176988269,0.4490578063953369,0.9272204702861806,,,,
15,ExtraTrees,0.9520342363135731,0.6027015181437743,0.9921570802673003,0.9917619351968523,0.6654351873873705,0.9610611311612216,0.9407590446990611,0.9969243571406703,0.8901515151515151,0.9426116389970822
15,GaussianNB,0.6077882045675413,0.8536374149994476,0.997769755223518,0.9963305560054176,0.959542838347985,0.9648257169588892,,,,
15,GradientBoosting,0.9565719144800777,0.6138140006678058,0.982454416306315,0.9816578519304759,0.5958633578791307,0.9032476300863829,0.8489302061215227,0.9945023065241685,0.8886483886483887,0.9106936337646934
15,Logistic_L2,0.8932519436345967,0.6301183459048864,0.9901009903274884,0.9889180093657598,0.6462629670463704,0.9471993185194121,0.8715876287601091,0.9934663563841394,0.9117965367965368,0.9256168406469284
15,MLP,0.8396248380304502,0.6632671802397963,0.9954983344295181,0.9946384797507761,0.7119377206375416,0.9518721275828247,,,,
15,RandomForest,0.9517583819241981,0.6194719007235443,0.9813918498947198,0.9804486616987917,0.5663967724719119,0.9621200468838779,0.926083081738371,0.9979879874100499,0.9128787878787878,0.945649952342403
15,SVC_RBF,0.9120100421120829,0.6269077154357292,0.9353691293239313,0.9291335975567254,0.5512561768075145,0.9236599932360263,,,,
