run_id,model,AUROC,AUPRC,LogLoss,Brier,ECE
465,GradientBoosting,1.0,1.0,0.02260899859669226,0.002179405349407753,0.021275895492635248
465,GaussianNB,0.43191056910569103,0.021132819689272383,0.11361210120622905,0.02330454240788906,0.006621663184897732
465,MLP,0.41937669376693765,0.02460492766484683,0.1172528279866453,0.023739684128852013,0.007760886034166898
465,SVC_RBF,0.7506775067750677,0.1041689519630696,0.11014382547745953,0.02320631423030911,0.007978660083519292
466,Logistic_L2,0.9220867208672088,0.31195181629964236,0.08423343683681296,0.020920057901346233,0.03712623355858537
466,RandomForest,0.9952574525745257,0.848611111111111,0.04785942679405501,0.011229863536465035,0.02769889668874192
466,ExtraTrees,1.0,1.0,0.0302059929235303,0.004859253933842839,0.02673137451935873
466,GradientBoosting,1.0,1.0,0.02260899859669226,0.002179405349407753,0.021275895492635248
466,GaussianNB,0.6321138211382114,0.35247347577869625,0.09508108022749828,0.02011963653371645,0.01812773807647742
466,MLP,0.5643631436314362,0.08225020610956088,0.11382025989723489,0.02321934416084164,0.013747362951355542
466,SVC_RBF,0.9119241192411924,0.20778781732128587,0.09093949127190534,0.021917107378127184,0.0160652841061253
467,Logistic_L2,0.9146341463414634,0.5010449320794148,0.07802977428994796,0.017768750136889874,0.01789171705726481
467,RandomForest,0.997289972899729,0.9107142857142856,0.04274599833280413,0.009525712127680705,0.031568654857897185
467,ExtraTrees,1.0,1.0,0.028217697465354123,0.004592517333198001,0.024162595665448115
467,GradientBoosting,1.0,1.0,0.02260899859669228,0.0021794053494077537,0.021275895492635245
467,GaussianNB,0.4820460704607046,0.18550826227372028,0.10403399608914683,0.02163346201640739,0.011201164518158157
467,MLP,0.6239837398373983,0.0948748175341205,0.10917429079414712,0.02290598509581108,0.011046473140004702
467,SVC_RBF,0.9444444444444444,0.24027777777777776,0.08952372879726572,0.021728609105816567,0.023084007838384688
468,Logistic_L2,0.8997289972899729,0.19638300296195033,0.0995111107360995,0.023889115641374987,0.014064043289110904
468,RandomForest,0.7831978319783198,0.22662047522146428,0.09922624188964248,0.023674311009415683,0.026792786169353894
468,ExtraTrees,0.9071815718157182,0.45191525646071096,0.07497748872699962,0.0172678388453449,0.015283391703094442
468,GradientBoosting,0.8475609756097561,0.7420634920634921,0.051010542543762395,0.009953698876057944,0.018032848304320868
468,GaussianNB,0.43191056910569103,0.021132819689272383,0.11385508864366785,0.023319186217163737,0.00730652930658008
468,MLP,0.3888888888888889,0.042221910953832,0.11783248794552925,0.023660099384419656,0.006258867491286416
468,SVC_RBF,0.8401084010840109,0.09516116257586449,0.10417025098081191,0.02309732839464394,0.008537348381229007
469,Logistic_L2,0.698509485094851,0.25555504426575876,0.10062304630802178,0.020679238136036605,0.013642350530679536
469,RandomForest,0.8319783197831978,0.3628324206926827,0.08600790278457138,0.02028929517179578,0.02054374729743591
469,ExtraTrees,0.9112466124661247,0.840632603406326,0.05586061699104906,0.011645330767525136,0.028388030282541145
469,GradientBoosting,0.8499322493224932,0.8373015873015872,0.047052881276548886,0.008813397369325612,0.02261983939652663
469,GaussianNB,0.5958672086720868,0.13960381442832473,0.10079518748208412,0.0219831538158734,0.015933084409686122
469,MLP,0.6117886178861789,0.043953700343499394,0.11322737834915075,0.02347253784805102,0.007191825600405126
