bin,p_mean,y_mean,count,fold,model,world
14,0.96188260338092,1.0,2,3,Logistic_L2,WI_prevalence_shift
2,0.15083333333333335,0.0,1,3,RandomForest,WA_clean
3,0.22791666666666666,0.0,4,3,RandomForest,WA_clean
4,0.2967857142857143,0.14285714285714285,7,3,RandomForest,WA_clean
5,0.3622916666666667,0.375,8,3,RandomForest,WA_clean
6,0.4373333333333333,0.8,5,3,RandomForest,WA_clean
7,0.48972222222222217,0.16666666666666666,6,3,RandomForest,WA_clean
8,0.5695238095238094,0.5714285714285714,7,3,RandomForest,WA_clean
9,0.616875,0.75,4,3,RandomForest,WA_clean
10,0.697,0.8,5,3,RandomForest,WA_clean
11,0.7608333333333334,1.0,3,3,RandomForest,WA_clean
2,0.15083333333333335,0.0,2,3,RandomForest,WI_prevalence_shift
3,0.2202777777777778,0.0,3,3,RandomForest,WI_prevalence_shift
4,0.298125,0.25,4,3,RandomForest,WI_prevalence_shift
5,0.36064102564102557,0.23076923076923078,13,3,RandomForest,WI_prevalence_shift
6,0.44125000000000003,1.0,4,3,RandomForest,WI_prevalence_shift
7,0.49719696969696964,0.0,11,3,RandomForest,WI_prevalence_shift
8,0.5706666666666667,0.6,5,3,RandomForest,WI_prevalence_shift
9,0.6216666666666667,0.6666666666666666,3,3,RandomForest,WI_prevalence_shift
10,0.6877777777777778,1.0,3,3,RandomForest,WI_prevalence_shift
11,0.7558333333333334,1.0,2,3,RandomForest,WI_prevalence_shift
0,0.008791615429010032,0.0,1,4,Logistic_L2,WA_clean
1,0.11766970405373885,0.6,5,4,Logistic_L2,WA_clean
2,0.17040920555644212,0.2857142857142857,7,4,Logistic_L2,WA_clean
3,0.24077557604893837,0.3333333333333333,3,4,Logistic_L2,WA_clean
4,0.29727338397148995,0.0,5,4,Logistic_L2,WA_clean
5,0.35927325180239184,0.3333333333333333,3,4,Logistic_L2,WA_clean
6,0.43441917234796584,0.0,3,4,Logistic_L2,WA_clean
7,0.49752993913274757,0.8,5,4,Logistic_L2,WA_clean
8,0.5509274268542813,0.3333333333333333,3,4,Logistic_L2,WA_clean
9,0.6280250324759422,0.8,5,4,Logistic_L2,WA_clean
10,0.6991772890550508,0.5,2,4,Logistic_L2,WA_clean
11,0.7541294570474962,0.3333333333333333,3,4,Logistic_L2,WA_clean
12,0.8336919040994619,1.0,5,4,Logistic_L2,WA_clean
0,0.008791615429010032,0.0,1,4,Logistic_L2,WI_prevalence_shift
1,0.1108580000074385,0.5,4,4,Logistic_L2,WI_prevalence_shift
2,0.16106827279824218,0.14285714285714285,7,4,Logistic_L2,WI_prevalence_shift
3,0.24124283087259626,0.14285714285714285,7,4,Logistic_L2,WI_prevalence_shift
4,0.29398371808249474,0.0,3,4,Logistic_L2,WI_prevalence_shift
5,0.34451924919677146,0.0,2,4,Logistic_L2,WI_prevalence_shift
6,0.4511907251112066,0.0,3,4,Logistic_L2,WI_prevalence_shift
7,0.4953042124560033,0.6,5,4,Logistic_L2,WI_prevalence_shift
8,0.5592137731891004,0.0,3,4,Logistic_L2,WI_prevalence_shift
9,0.6280250324759422,0.8,5,4,Logistic_L2,WI_prevalence_shift
10,0.6703982765328196,1.0,1,4,Logistic_L2,WI_prevalence_shift
11,0.7502119296412506,0.25,4,4,Logistic_L2,WI_prevalence_shift
12,0.8336919040994617,1.0,5,4,Logistic_L2,WI_prevalence_shift
3,0.23249999999999998,0.2,5,4,RandomForest,WA_clean
4,0.30020833333333335,0.125,8,4,RandomForest,WA_clean
5,0.3592857142857143,0.14285714285714285,7,4,RandomForest,WA_clean
6,0.43677083333333333,0.5,8,4,RandomForest,WA_clean
7,0.49111111111111105,0.5,6,4,RandomForest,WA_clean
8,0.5833333333333333,0.75,4,4,RandomForest,WA_clean
9,0.6399166666666666,0.8,10,4,RandomForest,WA_clean
10,0.7016666666666667,1.0,1,4,RandomForest,WA_clean
11,0.7583333333333333,1.0,1,4,RandomForest,WA_clean
3,0.22750000000000004,0.14285714285714285,7,4,RandomForest,WI_prevalence_shift
4,0.29750000000000004,0.08333333333333333,12,4,RandomForest,WI_prevalence_shift
5,0.3516666666666667,0.1111111111111111,9,4,RandomForest,WI_prevalence_shift
6,0.4448809523809524,0.5714285714285714,7,4,RandomForest,WI_prevalence_shift
7,0.47291666666666665,0.5,2,4,RandomForest,WI_prevalence_shift
8,0.5833333333333333,0.75,4,4,RandomForest,WI_prevalence_shift
9,0.6351190476190477,0.7142857142857143,7,4,RandomForest,WI_prevalence_shift
10,0.7016666666666667,1.0,1,4,RandomForest,WI_prevalence_shift
11,0.7583333333333333,1.0,1,4,RandomForest,WI_prevalence_shift
0,0.035093087149760935,0.0,1,5,Logistic_L2,WA_clean
1,0.09692890570222273,0.0,3,5,Logistic_L2,WA_clean
2,0.18031493286375716,0.4,5,5,Logistic_L2,WA_clean
4,0.2918477355003806,0.0,4,5,Logistic_L2,WA_clean
5,0.36415682768070967,0.0,1,5,Logistic_L2,WA_clean
6,0.4253370283606873,0.6,5,5,Logistic_L2,WA_clean
7,0.5067924093667643,0.5,6,5,Logistic_L2,WA_clean
8,0.5772179460562583,0.5,2,5,Logistic_L2,WA_clean
9,0.6348543453333974,0.6666666666666666,6,5,Logistic_L2,WA_clean
10,0.6963765000034189,1.0,4,5,Logistic_L2,WA_clean
11,0.7566734804201165,0.5,2,5,Logistic_L2,WA_clean
12,0.8287463963526154,0.4,5,5,Logistic_L2,WA_clean
13,0.8884580031351851,0.5,2,5,Logistic_L2,WA_clean
14,0.9656238166879051,0.5,4,5,Logistic_L2,WA_clean
0,0.035093087149760935,0.0,1,5,Logistic_L2,WI_prevalence_shift
1,0.0843786820724774,0.0,4,5,Logistic_L2,WI_prevalence_shift
2,0.19387959840079833,0.5,2,5,Logistic_L2,WI_prevalence_shift
4,0.2863317810526985,0.0,9,5,Logistic_L2,WI_prevalence_shift
5,0.36415682768070967,0.0,3,5,Logistic_L2,WI_prevalence_shift
6,0.42591614059687144,0.75,4,5,Logistic_L2,WI_prevalence_shift
7,0.5058640970709929,0.6666666666666666,3,5,Logistic_L2,WI_prevalence_shift
8,0.5772179460562583,0.5,2,5,Logistic_L2,WI_prevalence_shift
9,0.6275513095370708,0.4444444444444444,9,5,Logistic_L2,WI_prevalence_shift
10,0.6963765000034189,1.0,4,5,Logistic_L2,WI_prevalence_shift
11,0.7566734804201165,0.5,2,5,Logistic_L2,WI_prevalence_shift
12,0.8313855168979671,0.3333333333333333,3,5,Logistic_L2,WI_prevalence_shift
14,0.9804864043548398,0.25,4,5,Logistic_L2,WI_prevalence_shift
3,0.24020833333333333,0.5,8,5,RandomForest,WA_clean
4,0.29125,0.0,4,5,RandomForest,WA_clean
5,0.35833333333333334,0.2222222222222222,9,5,RandomForest,WA_clean
6,0.43069444444444444,0.5,6,5,RandomForest,WA_clean
