fold,model,R,Q_label,S_drop,S_ratio,C_exp,C_linear,E_cos,E_rank,E_jaccard,E_mix
5,GaussianNB,0.6320450885668278,0.8730115817576185,0.9853625704508856,0.9768411624194299,0.9228468153571474,0.9687228552863889,,,,
5,GradientBoosting,0.7375201288244767,0.8885832696957873,0.9406199677938808,0.919486899562411,0.7604105011097064,0.9402925408027747,0.8298018773489956,0.9932760825872464,0.8244588744588744,0.8825122781317055
5,Logistic_L2,0.6682769726247987,0.8587068136710615,0.9357890499194848,0.903915662649998,0.796777722610507,0.9435729911490267,0.8778995972544468,0.9951032350963762,0.9435817805383022,0.9388615376297084
5,MLP,0.6489533011272142,0.8607304300921576,0.9822866344605475,0.9727047146392774,0.8945665510153054,0.9611965402290245,,,,
5,RandomForest,0.6795491143317229,0.8494596834529136,0.9740338164251208,0.961789099525203,0.7094803978643007,0.9284166666666667,0.8604186942203074,0.9958891174665663,0.9285714285714286,0.9282930800861008
5,SVC_RBF,0.674718196457327,0.8278624423082573,0.9827898550724637,0.9744928400945769,0.43353890310043797,0.9395354530090824,,,,
6,ExtraTrees,0.6697530864197531,0.9065174456865992,0.977386714365881,0.9662363845824626,0.7821076113217238,0.96600963923964,0.8915605938776421,0.9925860399714161,0.768065268065268,0.884070633971442
6,GaussianNB,0.46141975308641975,0.9590976131598068,0.9907232042648709,0.9798951048937941,0.8969005082317972,0.930249222801651,,,,
6,GradientBoosting,0.6944444444444445,0.9167701863340836,0.9300645342312008,0.8992929292919942,0.8713575736522762,0.9598323109075348,0.8538024729466874,0.9924653215636822,0.8719613719613719,0.9060763888239137
6,Logistic_L2,0.5802469135802469,0.9045196246845784,0.940165544332211,0.8968810444871743,0.8544686755073125,0.9508216407691796,0.8730336199501115,0.9959038254369651,0.9534632034632035,0.9408002162834267
6,MLP,0.5864197530864198,1.0,0.9879875140291807,0.9795155502388431,0.8651870780075624,0.9345359156704025,,,,
6,RandomForest,0.7646604938271605,0.9381827754122773,0.9764222081930415,0.9691656728734347,0.7253271095618025,0.9198488562091502,0.8847949253089084,0.995159084180457,0.8831168831168832,0.9210236308687495
6,SVC_RBF,0.6064814814814815,0.9703665070393179,0.9969311167227835,0.9949398565806741,0.8028186632981298,0.9684957831997746,,,,
7,ExtraTrees,0.5563271604938272,0.9680998613020046,0.9839716610549943,0.9711890051689653,0.9065592814716054,0.9792075163398692,0.9083347772726351,0.9911739301567865,0.795995670995671,0.8985014594750309
7,GaussianNB,0.5138888888888888,1.0,0.9923014870931538,0.9850191100179231,0.9495130901595736,0.968998539029281,,,,
7,GradientBoosting,0.7021604938271605,0.9384615384602019,0.953125,0.9332417582411412,0.8778796486265363,0.9607382123320143,0.8440679084465297,0.9948671868151135,0.8771645021645023,0.9053665324753819
7,Logistic_L2,0.5262345679012346,1.0,0.9514941077441077,0.9078245801111952,0.8737960207570605,0.9538430149848228,0.873126875373724,0.9908575431639071,0.9554865424430642,0.9398236536602318
7,MLP,0.4475308641975309,0.9999999999977653,0.978675645342312,0.952351097177114,0.903129730052131,0.9571151841716338,,,,
7,RandomForest,0.6612654320987653,0.9218203033825032,0.9806660353535354,0.9707621724829588,0.8663794765806673,0.9758047385620915,0.8732264094628666,0.9961408922483836,0.8484848484848485,0.905950716732033
7,SVC_RBF,0.6875,0.9730639730625578,0.9764572811447811,0.9657560453008224,0.7099703564109465,0.9606256747821776,,,,
8,ExtraTrees,0.5885668276972624,1.0,0.9950684380032206,0.991621067030841,0.8382454879223937,0.96038125,0.8856638998369937,0.9857585702148874,0.8187229437229437,0.8967151379249416
8,GaussianNB,0.5249597423510467,0.9921395705502574,0.9951722272544283,0.9908035371916023,0.9704337298567566,0.9854007065295272,,,,
8,GradientBoosting,0.6908212560386474,0.992872512101844,0.9231078904991948,0.888694638694076,0.8013623267591449,0.93314467536411,0.834283765013202,0.9955779739386297,0.8771645021645021,0.9023420803721113
8,Logistic_L2,0.6586151368760065,0.9538273462464358,0.9452495974235104,0.9168704156472889,0.7523899815384566,0.9356567135111422,0.8655538928758033,0.994933533242387,0.9435817805383022,0.9346897355521642
8,MLP,0.602254428341385,1.0,0.9833937198067633,0.9724264705876584,0.9094782271613017,0.9633823578139853,,,,
8,RandomForest,0.7439613526570048,0.9876529720266446,0.9518921095008052,0.9353354978349128,0.7282475509200548,0.9612854166666667,0.8592568000449017,0.9947488131419431,0.8484848484848485,0.9008301538905644
8,SVC_RBF,0.7020933977455717,1.0,0.989633655394525,0.9852350917424282,0.7634667907349266,0.9684327694705488,,,,
9,ExtraTrees,0.571658615136876,0.99107828790754,0.9978864734299517,0.9963028169005403,0.7765814576356196,0.93475625,0.8968159564605236,0.9919658740981122,0.8741258741258742,0.9209692348948367
9,GaussianNB,0.5450885668276974,0.9321730706499423,0.9962761674718197,0.9931683899547821,0.9526474222642918,0.9795734304929581,,,,
9,GradientBoosting,0.5297906602254429,0.9682824773991908,0.9814814814814815,0.9650455927047613,0.9393561498288192,0.9751784485894606,0.8219922190903859,0.9946185103096246,0.8525315264445699,0.8897140852815267
9,Logistic_L2,0.642512077294686,0.9247387950381079,0.9668126006441224,0.948347431077191,0.8641298725766242,0.9560804581347964,0.8763419564740951,0.9948159033176691,0.9435817805383022,0.9382465467766888
9,MLP,0.6312399355877617,0.9065336767809651,0.9761127465780999,0.9621582031240699,0.9395675246390005,0.9748144401904507,,,,
9,RandomForest,0.5942028985507246,0.9480123534985628,0.9894323671497585,0.9822154471532394,0.8222177649170603,0.9589916666666667,0.8606262945162835,0.9963406523420042,0.8376623376623378,0.8982097615068753
9,SVC_RBF,0.5539452495974235,0.964158298095511,0.9831924315619968,0.969658430231936,0.8424323216836576,0.9611114061723646,,,,
10,ExtraTrees,0.713365539452496,1.0,0.9781948218599034,0.9694333733061644,0.8055066231937724,0.9674583333333333,0.894379051677014,0.991720605278695,0.8901515151515151,0.9254170573690748
10,GaussianNB,0.5909822866344606,0.9924806120293413,0.9835777098429952,0.9722118741474908,0.9802084198897232,0.9912864493945622,,,,
10,GradientBoosting,0.8486312399355878,0.9857502554360009,0.9143612872383253,0.8990860709193915,0.7037792600290624,0.9390655571047194,0.828687564049919,0.9940979223283949,0.9142857142857143,0.9123570668880093
10,Logistic_L2,0.5652173913043479,1.0,0.9348832528180354,0.8847934472927665,0.7848086245675883,0.9093832070085799,0.8707333769008465,0.9943151186149818,0.9208545078110295,0.9286343344422859
10,MLP,0.5845410628019324,1.0,0.9727254428341385,0.9533402203851132,0.9028186076411446,0.963567666594958,,,,
